zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,sqft,lot_sqft,year_built,last_sold_date,last_sold_price
29338134,909 Terrace Mountain Drive,78746,30.304669,-97.804143,1377025.0,7351,1583579,1129161,3026,25613,1975.0,,
,6348 Elroy Road,78617,,,,,,,,,,,
,2200 Birdell Street,78734,,,,,,,,,,,
29391713,22300 Ann Showers Drive,78621,30.272878,-97.465506,151095.0,-2032,170737,126920,1344,104152,1998.0,,
2089566234,512 Congress Avenue,78701,30.217952,-97.766572,,,,,1468,,2018.0,,
,4501 RM 620,78732,,,,,,,,,,,
94642131,16233 Zagros Way,78738,30.325966,-97.994969,553153.0,-5129,619531,503369,3876,12458,2010.0,,
29374480,10609 Spicewood Club Drive,78750,30.433343,-97.805793,458849.0,-655,481791,435907,2202,17585,1976.0,,
,15425 Farm-to-Market Road 973,78653,,,,,,,,,,,
,13954 Murfin Road,78734,,,,,,,,,,,
,423 Pine Siskin Drive,78610,,,,,,,,,,,
,740 Hillside Terrace Drive,78610,,,,,,,,,,,
64864603,17408 Sleepy Hollow Drive,78645,30.41279,-97.955573,378835.0,48039,428084,329586,,88401,1996.0,,
,7250 Gilbert Road,78653,,,,,,,,,,,
,11217 Crumley Ranch Road,78736,,,,,,,,,,,
,11006 Platt Lane,78725,,,,,,,,,,,
29466659,5406 Palo Blanco Lane,78744,30.196212,-97.749343,231215.0,510,249712,210406,1328,8037,1974.0,02/09/2000,
,15322 Hamilton Pool Road,78738,,,,,,,,,,,
,13635 RM 2769,78726,,,,,,,,,,,
29481547,6701 La Concha Pass,78749,30.230108,-97.873572,401803.0,-5159,421893,381713,2438,10306,1992.0,,
124720456,8305 Lookout Cliff Pass,78737,30.231526,-97.902662,494279.0,-2423,518993,469565,3505,9561,2015.0,,
,3427 Parker Lane,78741,,,,,,,,,,,
,15507 Ranch-to-Market Road 2769,78641,,,,,,,,,,,
64557244,14908 Fagerquist Road,78617,30.14137,-97.605647,266871.0,22936,317576,226840,2128,558352,1999.0,11/08/1999,43598
125916148,12504 Lyndon Drive,78732,30.392407,-97.880573,,,,,,87991,1983.0,,
29609674,9417 Altona Way,78717,30.487015,-97.762408,428327.0,-592,466876,402627,3286,9365,1999.0,,
29369390,11709 Oak Knoll Drive,78759,30.424702,-97.761513,371145.0,7052,389702,352588,1600,8812,1975.0,,
144361319,14230 Fitzhugh Road,78736,30.242031,-98.013379,530383.0,14629,599333,503864,1510,504691,1960.0,,
,3117 Wild Cherry Drive,78738,,,,,,,,,,,
,16036 Commelina Drive,78713,,,,,,,,,,,
29471895,7406 Williamson Road,78610,30.043481,-97.731288,365654.0,5679,420502,288867,1550,189747,1972.0,,
63228169,11613 Mill Ridge Trace,78653,30.358221,-97.544131,300163.0,1513,318173,282153,3057,9257,2004.0,,
,12593 Research Boulevard,78727,,,,,,,,,,,
80087345,901 Golden Palomino Court,78732,30.353855,-97.901546,460303.0,-3763,483318,437288,2956,9993,2006.0,,
144352225,9910 Peterson Road,78617,30.100517,-97.633985,832308.0,-51334,1348339,557646,728,4312440,1997.0,,
,14566 Sawyer Ranch Road,78620,,,,,,,,,,,
,14589 Fagerquist Road,78617,,,,,,,,,,,
,10050 1/2 Lake Creek Parkway,78729,,,,,,,,,,,
29481920,10604 Oliver Circle,78736,30.228595,-97.944544,509747.0,-3364,535234,484260,2760,130680,2002.0,,
,7085 Wolf Lane,78617,,,,,,,,,,,
29458294,20801 Trotters Lane,78660,30.491376,-97.579979,232424.0,5534,246369,220803,1660,8716,1994.0,,
29374133,9410 Topridge Drive,78750,30.434561,-97.797364,490947.0,-3606,515494,461490,2622,12153,1983.0,,
,10348 Doyle Overton Road,78617,,,,,,,,,,,
,10516 Parsons Road,78653,,,,,,,,,,,
29341202,3217 Lating Stream Lane,78746,30.317802,-97.785319,1121521.0,12875,1177597,1031799,4432,18138,1999.0,,
29402664,6613 Greensboro Drive,78723,30.307005,-97.662965,373932.0,5751,407586,336539,1689,9927,1969.0,,
29329572,11201 Solitary Fawn Trail,78735,30.296454,-97.917115,1060026.0,4874,1144828,975224,4844,46217,2001.0,,
70334786,7012 Doyal Drive,78747,30.151836,-97.737882,218885.0,160,229829,207941,1665,3598,2005.0,,
,138 North Lynnwood,78613,,,,,,,,,,,
29392790,1712 Adina Street,78721,30.281868,-97.680627,272530.0,-9982,286156,250728,1080,7305,1970.0,,
29347491,4407 City Park Road,78730,30.356611,-97.826757,776046.0,1754,853651,698441,2919,122055,1977.0,,
,1783 City Park Road,78730,,,,,,,,,,,
29514532,2716 Arroyo Blanco Cove,78748,30.155409,-97.851394,409024.0,2536,429475,388573,2841,11979,1999.0,10/31/2016,
,17334 Blake Manor Road,78653,,,,,,,,,,,
144297633,17109 Steger Lane,78653,30.414343,-97.51751,,,,,2927,43560,1983.0,,
,14202 RM 2769,78726,,,,,,,,,,,
,8100 Williamson Road,78610,,,,,,,,,,,
29410961,7105 Northeast Drive,78723,30.321213,-97.678712,387619.0,7169,410876,356609,1744,13412,1965.0,,
202151883,85 Country Oaks Drive,78610,30.116677,-97.886274,478930.0,8719,522034,445405,2209,218236,1985.0,,
,3500 Manor Road,78723,,,,,,,,,,,
28604932,204 Mandan Street,78610,30.079142,-97.839185,207335.0,-4571,230142,192822,1369,,,,
79980448,9608 Derecho Bend,78737,30.222492,-97.93371,469157.0,-10828,492615,445699,2350,43560,2006.0,06/18/2018,
60136457,13113 Country Lake Drive,78732,30.375562,-97.902388,655083.0,760,700939,596126,3962,30300,2002.0,07/12/2013,
60136673,2724 Zambia Drive,78613,30.47211,-97.855542,479967.0,-2708,503965,455969,3805,11186,2002.0,,
144980837,11811 Arnhamn Lane,78653,30.380431,-97.522848,203032.0,7273,221305,186789,1478,43560,1982.0,06/09/2016,412500
,2402 Ware Road,787,,,,,,,,,,,
,12001 Interstate 35 Frontage Road,78747,,,,,,,,,,,
116080915,14399 Montour Drive,78717,30.484543,-97.795501,583030.0,-461,623842,518897,3557,8973,2014.0,,
250180810,19919 Hodde Lane,78660,30.461594,-97.545824,5396408.0,,8310468,3291809,2002,5393338,1948.0,,
58317307,1116 Canon Yeomans Trail,78748,30.154372,-97.82707,286697.0,-4,301032,272362,1860,6634,2000.0,,
144291430,12700 Sparks Road,78653,30.388275,-97.503637,899825.0,-17238,1241759,638876,1552,4474178,1955.0,,
,11544 Doyle Overton Road,78719,,,,,,,,,,,
,537 Colorado Drive,78612,,,,,,,,,,,
,12008 US 290,78737,,,,,,,,,,,
58306383,3811 Tarragona Lane,78727,30.415177,-97.722098,373658.0,339,392341,354975,1830,10276,1980.0,,
58297816,1601 Acacia Bud Drive,78733,30.314017,-97.896431,876036.0,-23647,972400,832234,4457,11857,2001.0,,
125890399,9708 Schmidt Lane,78653,30.407528,-97.536172,617669.0,1616,691789,525019,4468,392432,2012.0,,
,1580 Medical Parkway,78613,,,,,,,,,,,
83123771,5611 Colton Road,78719,30.172746,-97.682915,,,,,2275,1009372,1969.0,,
29496033,4412 Corran Ferry Loop,78749,30.203132,-97.85215,355722.0,-2191,373508,323707,2023,7061,2000.0,10/30/2005,
29471395,9916 Horizon Lane,78719,30.105269,-97.679548,323793.0,-5290,372362,294652,2302,175547,1970.0,,
29455053,16901 Gravesend Road,78660,30.460506,-97.64203,217419.0,1404,228290,206548,1696,6425,1992.0,02/08/1993,95710
83815835,3510 Pawnee Pass,78738,30.330992,-97.97825,1132434.0,-6991,1200380,1030515,4367,140742,2005.0,,
,2943 Thurman Road,78645,,,,,,,,,,,
,13400 Old San Antonio Road,78652,,,,,,,,,,,
,145 Trinity Hills Drive,78737,,,,,,,,,,,
29432179,10403 Golden Quail Drive,78758,30.377924,-97.702183,287530.0,2155,301906,267403,1414,8581,1974.0,,
64611976,11905 Lime Creek Road,78641,30.483423,-97.882794,306742.0,-463,361956,282203,2024,86745,1980.0,,
29438527,12196 Running Bird Lane,78758,30.406633,-97.695707,302438.0,2902,317560,278243,1936,12737,1984.0,,
80100664,7705 Huddleston Lane,78745,30.188366,-97.79844,350536.0,3072,368063,325998,2506,5950,2010.0,04/05/2015,
29352403,108 Duck Lake Drive,78734,30.359757,-97.977363,416506.0,2575,437331,395681,2332,631858752,1999.0,,
29553994,1902 Shadowbrook Circle,78681,30.490701,-97.705277,422221.0,3484,451776,401110,3093,30492,1990.0,,
,9642 Maha Loop Road,78617,,,,,,,,,,,
29479398,7807 Callbram Lane,78736,30.233019,-97.894034,357472.0,10728,375346,328874,1719,10528,1993.0,,
29494808,7101 Cherry Meadow Drive,78745,30.199179,-97.803962,200909.0,-2197,229036,178809,940,5711,1971.0,,
70354255,11620 Shadow Creek Drive,78653,30.361849,-97.54993,241949.0,-1079,254046,229852,2031,6935,2009.0,,
58299379,8320 Adirondack Trail,78759,30.379642,-97.757069,560484.0,-113,588508,532460,2687,9191,1993.0,,
144974070,12132 Parsons Road,78653,30.328223,-97.507707,375282.0,28929,416563,334001,3417,43560,1986.0,,
,10347 Signal Hill Road,78737,,,,,,,,,,,
,150 Reeves Lane,78612,,,,,,,,,,,
,9241 Blocker Lane,78719,,,,,,,,,,,
29471661,7100 Verde Court,78610,30.063327,-97.714443,164458.0,5052,180904,146368,2128,32670,1997.0,,
64818530,1100 Teapot Drive,78660,30.423237,-97.641259,231487.0,6973,243061,219913,1590,6141,2003.0,,
,1563 West Creek Loop,78681,,,,,,,,,,,
,12819 Firefly Cove,78610,,,,,,,,,,,
144994497,11502 Bonham Lane,78736,30.236453,-98.004138,601338.0,-3629,697552,517151,1632,1174813,1994.0,,
125889469,3318 River Road,78612,30.203188,-97.508363,,,,,,16291,1976.0,,
,20025 Cameron Road,78653,,,,,,,,,,,
,115 Terri Trail,78621,,,,,,,,,,,
29447558,14509 Crystal Court,78728,30.439805,-97.676659,300683.0,-1418,315717,285649,1584,13547,1984.0,,
70356944,13304 Sleepy Hollow Road,78736,30.247939,-97.991176,772356.0,-616,834144,695120,3814,414299,1995.0,,
,2531 McKendrick Drive,78613,,,,,,,,,,,
144991556,8009 Sassman Road,78747,30.138627,-97.725617,265284.0,8843,278548,249367,1751,87120,1974.0,,
,16504 Jacobson Road,78617,,,,,,,,,,,
,4013 Spanish Oak Lane,78620,,,,,,,,,,,
144352194,11935 Von Quintus Road,78719,30.101807,-97.679032,252031.0,36987,264633,229348,1734,85378,1973.0,03/29/2018,960000
83822003,16116 Voelker Lane,78621,30.346984,-97.465034,445759.0,709,494792,361065,3071,159473,2004.0,,
64689739,7610 Blue Goose Road,78653,30.340269,-97.607802,232787.0,-82,251410,200197,1576,43560,1974.0,,
,15611 Ranch-to-Market Road 620,78681,,,,,,,,,,,
64690794,14600 FM 812,78719,30.114289,-97.627506,160808.0,6818,188145,127038,1344,244110,1950.0,02/09/2018,128625
29356901,11701 Portofino Drive,78732,30.372079,-97.87796,677563.0,8684,792749,616582,4208,26136,2000.0,07/09/2018,
,2798 Chert Cove,78681,,,,,,,,,,,
70324396,304 Clubhouse Drive,78734,30.368717,-97.960113,416694.0,8053,437529,395859,2247,12602,2006.0,,
,4560 Brandt Road,78744,,,,,,,,,,,
29429419,10703 Jonwood Way,78753,30.36624,-97.670015,311965.0,-3192,352520,296367,3479,6922,1999.0,,
29474985,900 Juanita Street,78704,30.241795,-97.763891,554265.0,2650,604149,521009,1880,9627,1930.0,,
83126406,12317 Terranova Cove,78737,30.179531,-97.918222,632372.0,2802,663991,588106,4082,14519,2008.0,,
249912030,17223 FM 973,78653,30.415782,-97.505425,,,,,,993756,,,
,201 Dawson Road,78704,,,,,,,,,,,
,4165 Spanish Oak Drive,78681,,,,,,,,,,,
,2370 Bebee Road,78640,,,,,,,,,,,
124150527,13400 Briarwick Drive,78729,30.469671,-97.77003,268527.0,-9166,281953,255101,1915,6534,2014.0,08/28/2014,238100
,2567 FM 969,78621,,,,,,,,,,,
,5102 Emma Browning Avenue,78617,,,,,,,,,,,
64433168,8915 Appaloosa Run,78737,30.192974,-97.94134,513571.0,-5623,554657,482757,2378,438649,1986.0,,
88015767,4598 Aria Cove,78681,30.547307,-97.733272,416359.0,4106,437177,391377,2855,10406,2006.0,,
144402185,2392 Cecil Drive,78744,30.165184,-97.774589,,,,,,627220,,,
89546291,11501 Maha Loop Road,78719,30.09334,-97.682424,196962.0,13099,232415,159539,1560,43560,2007.0,,
64705110,105 Far Vela Lane,78738,30.335784,-97.963851,1031598.0,15925,1196654,887174,5697,45694,2003.0,,
29366095,11011 Galleria Cove,78759,30.413898,-97.757756,457798.0,9785,480688,434908,2499,9270,1994.0,,
29367074,17001 South Ridge Lane,78734,30.418081,-97.944796,594574.0,1489,665923,487551,1995,29595,1993.0,,
70339281,11204 Wet Season,78754,30.372774,-97.653121,283501.0,882,297676,269326,1799,6882,2005.0,05/17/2015,
243339782,13700 Sage Grouse Drive,78729,30.466063,-97.761643,296475.0,-4516,311299,281651,2106,,2016.0,10/09/2018,248245
29367465,5907 Sierra Madre,78759,30.419921,-97.755832,564116.0,-2675,603604,518987,3240,22028,1966.0,,
83124873,12012 Montclair Way,78732,30.341566,-97.90929,506461.0,1713,531784,481138,3406,9626,2008.0,,
29374583,10901 Pickfair Drive,78750,30.438328,-97.810442,507709.0,-1932,553403,482324,2489,22189,1984.0,,
,1143 1/2 Airport Boulevard,78752,,,,,,,,,,,
,9500 1/2 RM 2222,78750,,,,,,,,,,,
144352148,11120 Lambert Lane,78719,30.116346,-97.67958,403283.0,29456,524268,310528,959,1880050,1930.0,,
29471257,8405 Linden Loop,78617,30.132658,-97.593266,165822.0,4101,185721,149240,1456,87120,1983.0,,
64673863,18216 Great Valley Drive,78653,30.325122,-97.528921,151299.0,304,161890,131630,1076,10071,2003.0,,
52830622,15128 Thatcher Drive,78717,30.495069,-97.769043,431074.0,-2873,452628,409520,3395,7865,2001.0,,
58301372,6809 Colony Loop Drive,78724,30.29937,-97.640539,131122.0,-8603,154724,121943,930,6969,1985.0,,
,223 Palomino Road,78640,,,,,,,,,,,
29416023,6103 Shoalwood Avenue,78757,30.3375,-97.742008,530863.0,-4763,583949,504320,956,12245,1950.0,07/19/1991,69000
,2398 TX 71,78612,,,,,,,,,,,
241938398,14650 Graef Road,78610,30.062951,-97.756852,306722.0,-1675,340461,272983,1536,3920400,2016.0,,
,1594 Wood Acre Lane,78733,,,,,,,,,,,
29369287,11607 Buttonwood Drive,78759,30.421674,-97.758291,429773.0,-1918,451262,408284,2107,10189,1983.0,,
144352326,4210 Turnersville Road,78610,30.079349,-97.751428,232395.0,6711,267254,190564,1216,130244,1985.0,,
29476395,2713 La Mesa Drive,78704,30.236226,-97.760744,398949.0,8658,430865,371023,960,7954,1950.0,,
29471307,11104 FM 1625,78719,30.106782,-97.728461,319987.0,6138,374385,268789,1344,784080,1973.0,,
,131 Holz Road,78640,,,,,,,,,,,
29373242,14609 Pocohontas Trail,78641,30.427832,-97.892225,1008422.0,15966,1200022,816822,984,230737,1950.0,,
80106642,19600 Moorlynch Avenue,78660,30.465385,-97.571644,312055.0,-1186,327658,296452,2407,8145,2010.0,,
,269 West Old Bowman Road,78664,,,,,,,,,,,
,1088 Breakaway Road,78613,,,,,,,,,,,
29510145,10103 Lindshire Lane,78748,30.176059,-97.839972,298417.0,-1346,313338,280512,1647,8054,1983.0,,
,641 Hurst Creek Road,78734,,,,,,,,,,,
63836088,11502 Lapoynor Street,78653,30.336266,-97.562819,196025.0,2414,205826,186224,1611,6000,2004.0,05/23/2018,
89651203,3056 Agave Loop,78681,30.539524,-97.718911,440597.0,-917,462627,418567,3363,,2012.0,,
80104507,4513 Rapid Springs Cove East,78746,30.32148,-97.786464,1758996.0,17377,1952486,1671046,5719,50438,2006.0,,
29363413,8300 Elander Drive,78750,30.392492,-97.80279,814622.0,-27961,855353,773891,5308,13634,1993.0,05/27/2014,645000
,6104 Pearce Lane,78612,,,,,,,,,,,
119629328,2203 Lakeway Boulevard,78734,30.356685,-97.980393,,,,,,976659,,,
,3699 Ed Bluestein Boulevard,78721,,,,,,,,,,,
,15874 Hokanson Road,78617,,,,,,,,,,,
2124015951,905 West Howard Lane,78728,30.417733,-97.665326,262149.0,2176,293607,217584,1201,,2011.0,,
,8035 Jesse Bohls Drive,78660,,,,,,,,,,,
29479690,10000 Hillside North,78736,30.236451,-97.952955,427923.0,-14,449319,402248,2216,32670,1978.0,,
,425 Kingston Lacy Boulevard,78660,,,,,,,,,,,
,7050 East Ben White Boulevard,78742,,,,,,,,,,,
83824739,3509 Kelly Lane,78660,30.458595,-97.570808,387623.0,3707,422509,364366,2876,435600,1991.0,,
29432550,911 Meadows Drive North,78758,30.375583,-97.69379,287917.0,1733,302313,270642,1684,9304,1970.0,,
125804156,16602 Deep Meadow Cove,78653,30.251885,-97.556489,,,,,,54014,,,
29604570,1205 Lacey Oak Loop,78681,30.530979,-97.700458,286608.0,10168,300938,272278,2281,8244,1999.0,,
,9100 Ramirez Lane,78742,,,,,,,,,,,
58304464,1101 Minda Drive,78758,30.387624,-97.689416,351109.0,7682,372176,333554,2111,12589,1969.0,,
58304368,11815 Eubank Drive,78758,30.389935,-97.685762,306482.0,-2799,321806,291158,1775,8568,1978.0,,
29347178,14 Club Estates Parkway,78738,30.347444,-97.99083,1317594.0,-10891,1449353,1225362,7077,50965,1994.0,12/04/2015,768000
29412647,7105 Blessing Avenue,78752,30.328033,-97.695152,237163.0,1723,267994,208703,1260,8015,1998.0,,
29406958,1404 Northridge Drive,78723,30.314663,-97.69848,422200.0,4118,443310,401090,1604,9026,1955.0,,
29517319,12902 Shawnee Drive,78652,30.119864,-97.818382,324529.0,-8765,356982,305057,1542,27116,1973.0,,
70355649,3104 Richfield Landing,78660,30.461658,-97.576933,387896.0,-1832,407291,368501,3600,10890,2006.0,05/05/2015,
,410 Story Drive,78610,,,,,,,,,,,
,524 Bartlett Drive West,78610,,,,,,,,,,,
29457990,2604 Butler National Drive,78660,30.474712,-97.575426,314912.0,-3820,330658,299166,2920,10454,1997.0,,
,18699 RM1431,78645,,,,,,,,,,,
,11462 US 290,78737,,,,,,,,,,,
29344268,5108 Lucas Lane,78731,30.336404,-97.764175,934580.0,9951,1093459,822430,3433,46347,1994.0,,
,13358 Old Kimbro Road,78653,,,,,,,,,,,
29419042,1708 Pasadena Drive,78757,30.346496,-97.727407,457927.0,8062,494561,430451,1239,8050,1952.0,,
,585 Clark Cove Road,78610,,,,,,,,,,,
94641966,19104 Leisure Lane,78645,30.458828,-97.958742,762228.0,-412,861318,716494,4183,127112,2008.0,,
144994458,10800 Circle Drive,78736,30.244141,-97.944024,430081.0,-4952,468788,391374,3084,10280,1996.0,,
70330276,4421 Mirador Drive,78735,30.264616,-97.865864,1869246.0,64985,2224403,1626244,5256,147494,2006.0,,
,21752 Sandy Brown Lane,78621,,,,,,,,,,,
,1992 Shadowbrook Circle,78681,,,,,,,,,,,
,12411 Sparks Road,78653,,,,,,,,,,,
,8817 Old Lampasas Trail,78759,,,,,,,,,,,
144992567,15421 Goforth Road,78640,30.0789,-97.8252,,,,,,1223165,,,
70344718,13821 Briarcreek Loop,78653,30.312933,-97.531317,177052.0,5207,185905,168199,1300,7200,2006.0,,
,8912 Ingrid Drive,78621,,,,,,,,,,,
84378582,2185 FM 812,78616,30.063737,-97.560917,252463.0,-140,310529,209544,2754,49963,1982.0,,
,11084 McAngus Road,78617,,,,,,,,,,,
29391680,21929 Ann Showers Drive,78621,30.274126,-97.475191,178471.0,-11041,207026,153485,1050,239319,1996.0,,
,10162 Dessau Road,78754,,,,,,,,,,,
29487517,9207 Granada Hills Drive,78737,30.216766,-97.899739,465566.0,-4475,493500,428321,2253,56445,1990.0,,
83825158,18820 Double Canyon Drive,78645,30.479711,-97.938157,407830.0,-1541,464926,367047,2588,220414,2007.0,,
29469540,5709 Colton Road,78719,30.172783,-97.688677,273500.0,-4022,298115,248885,1838,334497,1959.0,,
,1503 Barbergale Street,78728,,,,,,,,,,,
144251137,20117 Lockwood Road,78653,30.302138,-97.499837,289381.0,-3663,344363,251761,2426,43560,1981.0,,
70327676,12020 Mustang Drive,78610,30.065738,-97.704181,,,,,,22433,1987.0,,
29471077,10223 Thaxton Road,78747,30.125542,-97.738536,291213.0,10218,326159,247531,1113,223289,1945.0,,
89551659,3022 Thurman Road,78645,30.413685,-97.983415,,,,,,87512,,,
,9850 West Parmer Lane,78717,,,,,,,,,,,
29428805,915 East Village Lane,78758,30.368758,-97.697767,144702.0,-2275,156278,137467,930,4330,1973.0,06/21/2017,
29471454,14104 Hokanson Road,78617,30.108621,-97.641103,266234.0,-1439,308831,223637,2284,104196,1955.0,,
29462325,6220 Palm Circle,78741,30.232882,-97.698788,260602.0,-10275,278844,239754,962,6098,1970.0,,
89547803,7504 Williamson Creek Drive,78736,30.247308,-97.914977,,,,,1152,14431,2007.0,,
29510413,10105 Rocking Horse Road,78748,30.179149,-97.845897,369960.0,3757,406956,318166,1910,35523,1971.0,,
214443332,330 Watersedge Terrace Drive,78621,30.207539,-97.47977,147990.0,3026,187947,116912,1612,276170,1979.0,,
80110185,9517 Castle Pines Drive,78717,30.494378,-97.760304,340745.0,-1051,374819,320300,2455,10608,2006.0,,
29479413,7603 Callbram Lane,78736,30.233941,-97.891758,459231.0,-4581,482193,436269,2997,13456,1993.0,,
,6108 Cottonmouth School Road,78744,,,,,,,,,,,
29433650,1812 Mearns Meadow Boulevard,78758,30.38282,-97.710188,345014.0,15192,365715,317413,2161,9583,1975.0,,
,12517 Harmony Hill Street,78729,,,,,,,,,,,
,13115 FM 812,78719,,,,,,,,,,,
29509204,9105 Chisholm Lane,78748,30.177658,-97.809603,311772.0,7492,336714,289948,1315,30492,1977.0,,
29507484,10304 Wolftrap Drive,78749,30.182888,-97.857569,399052.0,2704,419005,375109,2826,9452,1991.0,,
